station,year,day,hour,filename
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551741174_e20230551743559_c20230551743599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551746174_e20230551748558_c20230551749001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551751174_e20230551753558_c20230551753597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C07_G18_s20230551756174_e20230551758559_c20230551759007.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551701174_e20230551703547_c20230551703589.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551706174_e20230551708547_c20230551708592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551711174_e20230551713547_c20230551714003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551716174_e20230551718547_c20230551719002.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551721174_e20230551723547_c20230551723595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551726174_e20230551728547_c20230551728594.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551731174_e20230551733547_c20230551733587.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551736174_e20230551738547_c20230551738588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551741174_e20230551743547_c20230551743593.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551746174_e20230551748547_c20230551748590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551751174_e20230551753547_c20230551753599.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C08_G18_s20230551756174_e20230551758547_c20230551758588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551701174_e20230551703553_c20230551703596.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551706174_e20230551708553_c20230551709003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551711174_e20230551713553_c20230551714001.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551716174_e20230551718553_c20230551719010.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551721174_e20230551723553_c20230551724009.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551726174_e20230551728553_c20230551729006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551731174_e20230551733553_c20230551733597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551736174_e20230551738553_c20230551738596.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551741174_e20230551743553_c20230551743590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551746174_e20230551748553_c20230551748593.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551751174_e20230551753553_c20230551754005.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C09_G18_s20230551756174_e20230551758553_c20230551758592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551701174_e20230551703558_c20230551703592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551706174_e20230551708558_c20230551708585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551711174_e20230551713558_c20230551713596.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551716174_e20230551718558_c20230551718596.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551721174_e20230551723558_c20230551723592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551726174_e20230551728559_c20230551729008.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551731174_e20230551733558_c20230551733592.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551736174_e20230551738559_c20230551738590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551741174_e20230551743558_c20230551744006.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551746174_e20230551748558_c20230551748583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551751174_e20230551753558_c20230551753588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C10_G18_s20230551756174_e20230551758559_c20230551758583.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551701174_e20230551703547_c20230551703594.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551706174_e20230551708547_c20230551708588.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551711174_e20230551713547_c20230551713594.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551716174_e20230551718547_c20230551718587.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551721174_e20230551723547_c20230551723589.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551726174_e20230551728547_c20230551728590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551731174_e20230551733547_c20230551733590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551736174_e20230551738547_c20230551738585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551741174_e20230551743547_c20230551743586.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551746174_e20230551748547_c20230551748595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551751174_e20230551753547_c20230551753591.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C11_G18_s20230551756174_e20230551758547_c20230551758585.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551701174_e20230551703553_c20230551704007.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551706174_e20230551708553_c20230551708595.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551711174_e20230551713553_c20230551713590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551716174_e20230551718553_c20230551718590.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551721174_e20230551723553_c20230551723597.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551726174_e20230551728553_c20230551729003.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551731174_e20230551733553_c20230551734008.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551736174_e20230551738553_c20230551739005.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551741174_e20230551743553_c20230551744009.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551746174_e20230551748553_c20230551749004.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551751174_e20230551753553_c20230551754007.nc
ABI-L1b-RadC,2023,55,17,OR_ABI-L1b-RadC-M6C12_G18_s20230551756174_e20230551758553_c20230551758598.nc
