year,month,day_of_year,station_id,filename
2023,2,24,DAN1,DAN120230224_103858_V06
2023,2,24,DAN1,DAN120230224_104551_V06
2023,2,24,DAN1,DAN120230224_105242_V06
2023,2,24,DAN1,DAN120230224_105934_V06
2023,2,24,DAN1,DAN120230224_105934_V06_MDM
2023,2,24,DAN1,DAN120230224_110624_V06
2023,2,24,DAN1,DAN120230224_111323_V06
2023,2,24,DAN1,DAN120230224_112023_V06
2023,2,24,DAN1,DAN120230224_112719_V06
2023,2,24,DAN1,DAN120230224_113425_V06
2023,2,24,DAN1,DAN120230224_114115_V06
2023,2,24,DAN1,DAN120230224_114806_V06
2023,2,24,DAN1,DAN120230224_115505_V06
2023,2,24,DAN1,DAN120230224_115505_V06_MDM
2023,2,24,DAN1,DAN120230224_120201_V06
2023,2,24,DAN1,DAN120230224_120851_V06
2023,2,24,DAN1,DAN120230224_121542_V06
2023,2,24,DAN1,DAN120230224_122228_V06
2023,2,24,DAN1,DAN120230224_122924_V06
2023,2,24,DAN1,DAN120230224_123610_V06
2023,2,24,DAN1,DAN120230224_124301_V06
2023,2,24,DAN1,DAN120230224_124951_V06
2023,2,24,DAN1,DAN120230224_125645_V06
2023,2,24,DAN1,DAN120230224_125645_V06_MDM
2023,2,24,DAN1,DAN120230224_130336_V06
2023,2,24,DOP1,DOP120230224_152646_V06
2023,2,24,DOP1,DOP120230224_153114_V06
2023,2,24,DOP1,DOP120230224_153814_V06
2023,2,24,DOP1,DOP120230224_154514_V06
2023,2,24,DOP1,DOP120230224_155213_V06
2023,2,24,DOP1,DOP120230224_155913_V06
2023,2,24,DOP1,DOP120230224_155913_V06_MDM
2023,2,24,DOP1,DOP120230224_160612_V06
2023,2,24,DOP1,DOP120230224_161311_V06
2023,2,24,DOP1,DOP120230224_162011_V06
2023,2,24,DOP1,DOP120230224_162717_V06
2023,2,24,DOP1,DOP120230224_163411_V06
2023,2,24,DOP1,DOP120230224_164116_V06
2023,2,24,DOP1,DOP120230224_164816_V06
2023,2,24,DOP1,DOP120230224_165522_V06
2023,2,24,DOP1,DOP120230224_165522_V06_MDM
2023,2,24,DOP1,DOP120230224_170229_V06
2023,2,24,DOP1,DOP120230224_170918_V06
2023,2,24,DOP1,DOP120230224_171612_V06
2023,2,24,DOP1,DOP120230224_172307_V06
2023,2,24,DOP1,DOP120230224_173007_V06
2023,2,24,DOP1,DOP120230224_173702_V06
2023,2,24,DOP1,DOP120230224_174352_V06
2023,2,24,DOP1,DOP120230224_175046_V06
2023,2,24,DOP1,DOP120230224_175736_V06
2023,2,24,DOP1,DOP120230224_175736_V06_MDM
2023,2,24,DOP1,DOP120230224_180430_V06
2023,2,24,DOP1,DOP120230224_181136_V06
2023,2,24,DOP1,DOP120230224_181841_V06
2023,2,24,DOP1,DOP120230224_182547_V06
2023,2,24,DOP1,DOP120230224_183253_V06
2023,2,24,DOP1,DOP120230224_183959_V06
2023,2,24,DOP1,DOP120230224_184704_V06
2023,2,24,DOP1,DOP120230224_185409_V06
2023,2,24,DOP1,DOP120230224_185409_V06_MDM
2023,2,24,DOP1,DOP120230224_190103_V06
2023,2,24,DOP1,DOP120230224_190808_V06
2023,2,24,DOP1,DOP120230224_191458_V06
2023,2,24,DOP1,DOP120230224_192148_V06
2023,2,24,DOP1,DOP120230224_192854_V06
2023,2,24,DOP1,DOP120230224_193553_V06
2023,2,24,DOP1,DOP120230224_194243_V06
2023,2,24,DOP1,DOP120230224_194937_V06
2023,2,24,DOP1,DOP120230224_195643_V06
2023,2,24,DOP1,DOP120230224_195643_V06_MDM
2023,2,24,DOP1,DOP120230224_200341_V06
2023,2,24,DOP1,DOP120230224_201041_V06
2023,2,24,DOP1,DOP120230224_201747_V06
2023,2,24,DOP1,DOP120230224_202451_V06
2023,2,24,DOP1,DOP120230224_203156_V06
2023,2,24,DOP1,DOP120230224_203855_V06
2023,2,24,DOP1,DOP120230224_204555_V06
2023,2,24,DOP1,DOP120230224_205253_V06
2023,2,24,DOP1,DOP120230224_205952_V06
2023,2,24,DOP1,DOP120230224_205952_V06_MDM
2023,2,24,DOP1,DOP120230224_210657_V06
2023,2,24,DOP1,DOP120230224_211351_V06
2023,2,24,DOP1,DOP120230224_212041_V06
2023,2,24,DOP1,DOP120230224_212747_V06
2023,2,24,DOP1,DOP120230224_213447_V06
2023,2,24,DOP1,DOP120230224_214152_V06
2023,2,24,DOP1,DOP120230224_214847_V06
2023,2,24,DOP1,DOP120230224_215546_V06
2023,2,24,DOP1,DOP120230224_215546_V06_MDM
2023,2,24,DOP1,DOP120230224_220246_V06
2023,2,24,DOP1,DOP120230224_220944_V06
2023,2,24,DOP1,DOP120230224_221643_V06
2023,2,24,DOP1,DOP120230224_221847_V06
2023,2,24,DOP1,DOP120230224_222724_V06
2023,2,24,KABR,KABR20230224_000132_V06
2023,2,24,KABR,KABR20230224_000819_V06
2023,2,24,KABR,KABR20230224_001504_V06
2023,2,24,KABR,KABR20230224_002148_V06
2023,2,24,KABR,KABR20230224_002834_V06
2023,2,24,KABR,KABR20230224_003520_V06
2023,2,24,KABR,KABR20230224_004206_V06
2023,2,24,KABR,KABR20230224_004851_V06
2023,2,24,KABR,KABR20230224_005536_V06
2023,2,24,KABR,KABR20230224_005536_V06_MDM
2023,2,24,KABR,KABR20230224_010223_V06
2023,2,24,KABR,KABR20230224_010909_V06
2023,2,24,KABR,KABR20230224_011555_V06
